,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.13863989943807198,0.2168123826194427,0.2515981627465711,0.4031519216773618,0.14472632924025053,0.15431732301679224,0.27794286017131564,0.20013783743989066,0.2068698334072463,0.1336163631417766,0.5421533429947513,0.18842236139800372,0.15251299411920927,0.15848658169299212,0.1651492733334886,0.3300145312335677,0.3520414687248542,0.3260069183417832,0.3204939732698805,0.30534756942949914,0.32541067590037964,0.2427104498390702,0.23966028972898468,0.3191139747062488,0.3674588025498078,0.2196474134033708,0.2369359424780959,0.30368996015736205,0.3023040998710579,0.29408343696904216,0.29399594257962225,0.2982852113301171,1.0,0.4628103529094908,0.31334615140375766,0.45890806475383306
Elementa philosophiae,0.13863989943807198,0.0,0.23722345124648714,0.2577186382282324,0.4041738064269429,0.14626599800163542,0.1314726033244994,0.21534520645481647,0.13554022216452255,0.18019084456573897,0.10486299603712568,0.5236214062935545,0.17293900710671728,0.014162161930008521,0.12761548729795114,0.12783090400824149,0.29294205623695735,0.35164509891920703,0.32014643697135103,0.31194103019728914,0.2968097609220106,0.30716409383195886,0.23037210194326896,0.1957490071471284,0.3514942305132096,0.3373854498862332,0.2287655547865649,0.2386213567451836,0.3334065301296498,0.3325513832905743,0.3192988644829766,0.3275739989764497,0.32759103115639854,1.0,0.4583930095215636,0.3411469548167734,0.4357126360425072
Elegia,0.2168123826194427,0.23722345124648714,2.220446049250313e-16,0.1655889027172195,0.18588691423514536,0.12359883654389336,0.17553636735435796,0.36708388612064957,0.3017623540315113,0.2802062045125532,0.18089852770069403,0.5911248413053134,0.2515814464090609,0.24496405220973427,0.2373619590865098,0.24646888193033345,0.18047478198207534,0.19890077774145098,0.15780587622046727,0.15541058640581196,0.16040926030989,0.19282719732530895,0.06071790654842668,0.11909241904384904,0.17774480488047673,0.20377726227941184,0.06413492701513523,0.07376212011669958,0.08890465515379053,0.08659483702841109,0.07932332577868428,0.08455009256003465,0.08738534437715317,1.0,0.2893372598253975,0.14341976453532312,0.31914278233016224
Alexandreis,0.2515981627465711,0.2577186382282324,0.1655889027172195,2.220446049250313e-16,0.08812890446281996,0.16780809130488528,0.19404792132084037,0.31077665315090885,0.3589795680891601,0.20849187258733348,0.15476639237333067,0.6180066095900787,0.29679666183176634,0.2529348066367185,0.26453909672288467,0.2626048318665064,0.40685626145383447,0.4271207770697675,0.39216309649654457,0.40221492445472196,0.37732700332027536,0.42185299428101963,0.16817582805936282,0.1147139546949767,0.1723528173735125,0.07603672040391851,0.1884293210052086,0.15959459256167374,0.18503886007119985,0.20089890027094326,0.20543159785094622,0.1971442650539632,0.20582837020237565,1.0,0.08989877287572179,0.21189527991262702,0.11037448886019252
Bucolicum carmen,0.4031519216773618,0.4041738064269429,0.18588691423514536,0.08812890446281996,2.220446049250313e-16,0.2627725051929102,0.3312533496966754,0.47892421009951547,0.4711088954161551,0.36835116787321875,0.275025802662348,0.6869209334452087,0.4009986368058498,0.3958838091309258,0.3875393356166831,0.3839554244975767,0.40527574514831055,0.4300896442910187,0.3885519842408114,0.4026902413851734,0.3943847905684158,0.43091304890424376,0.17319080801087983,0.12490734849042906,0.2070012077579526,0.04406059656976058,0.2000938389033563,0.16166353208079942,0.16012349637242695,0.17797691986925668,0.18074310021546358,0.1746696748962261,0.18323009240358867,1.0,0.049822063634343605,0.18506176213840653,0.07772759957372666
Carmina Burana,0.14472632924025053,0.14626599800163542,0.12359883654389336,0.16780809130488528,0.2627725051929102,0.0,0.09364477898601342,0.22664623033997222,0.2365658075516761,0.1663166882149525,0.14323760265849872,0.5552514978203675,0.16600205701911475,0.14758668689836207,0.1671359781070505,0.16530816860589181,0.23705101062164935,0.26409822212910583,0.23175529594572297,0.23127486717760615,0.2300488241127947,0.2537708909110743,0.13653347706275187,0.16199738685167642,0.27625782794325393,0.28172589147936855,0.15653353022970773,0.17124104936973839,0.18065673402127658,0.18396261230486666,0.18220741807293384,0.181260735486525,0.18398309715205385,1.0,0.32495951085783437,0.12590734326645747,0.32022723171712464
Rota Veneris,0.15431732301679224,0.1314726033244994,0.17553636735435796,0.19404792132084037,0.3312533496966754,0.09364477898601342,2.220446049250313e-16,0.19387916281326045,0.24328273758407404,0.19097720532004026,0.13260064658928128,0.56265915699369,0.16613353923980556,0.1336337582476539,0.18307750999500083,0.1755508977067286,0.32881053742195054,0.3540806244345429,0.31313408204666715,0.3150748449957578,0.30341680864297704,0.3413001957643035,0.1967120072001649,0.23390714914375443,0.32204581070894456,0.3273757548947889,0.22552041949279866,0.2336207070143974,0.23888631812934258,0.2451457969170885,0.24233199878260447,0.24214431602824038,0.24242557745052018,1.0,0.3724840792135464,0.23029195969500882,0.35530657032690394
Ars grammatica,0.27794286017131564,0.21534520645481647,0.36708388612064957,0.31077665315090885,0.47892421009951547,0.22664623033997222,0.19387916281326045,0.0,0.3005907360448675,0.21949172675491835,0.16381311883392324,0.5734292920430555,0.2697528536476075,0.20885781147673033,0.22811263400589377,0.24064041123424929,0.4265839125583599,0.4413095973473883,0.41724631545919644,0.4094651346272483,0.3863210882361896,0.4263889450959075,0.3578704918479687,0.32378011125692285,0.30786332958565854,0.4280461152408306,0.35734825561928707,0.36051593291315553,0.4122257818777164,0.4118042864260061,0.4112701210265558,0.41251982227723594,0.41073404063422314,1.0,0.4788118696035213,0.3719200911665712,0.4537038097403505
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.20013783743989066,0.13554022216452255,0.3017623540315113,0.3589795680891601,0.4711088954161551,0.2365658075516761,0.24328273758407404,0.3005907360448675,0.0,0.21954873969719546,0.15992863944782743,0.5237278808166569,0.24378928098957808,0.15703858881631938,0.13277112310576822,0.12317565857885437,0.31316172785119534,0.34991276368676727,0.31473566918150975,0.3071295508048184,0.275650934847526,0.3010858396574462,0.3271260943515898,0.2724339325562328,0.406352209367303,0.4179955670079484,0.2982641362728683,0.31234985849261854,0.4071960837825559,0.4044095074658244,0.3923396726766466,0.4007760494539565,0.40162449225670316,1.0,0.5284900895496761,0.4267284706880533,0.5305305395729173
De excidio Troiae historia,0.2068698334072463,0.18019084456573897,0.2802062045125532,0.20849187258733348,0.36835116787321875,0.1663166882149525,0.19097720532004026,0.21949172675491835,0.21954873969719546,0.0,0.14366417038631618,0.5693608342324152,0.2471911701151448,0.18435925092995842,0.16063087085786787,0.15738060341820703,0.3598089363235044,0.39033911122308673,0.3631536601008907,0.35773319476784793,0.3303374515103351,0.36046745695983873,0.28530683384303557,0.22857832235480235,0.31207061212725906,0.3121977875100693,0.2939987497173211,0.2974503051288223,0.33150634206034635,0.3427507430400709,0.3425239134755831,0.3399061591538737,0.34151037542591434,1.0,0.3562285454478701,0.3402354981665434,0.3478208919970428
