,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,3.3306690738754696e-16,0.19923368934376406,0.3589414089727363,0.3526589146205342,0.5531782093905904,0.2129309445381491,0.2475552991896005,0.343440977388875,0.38660427446004864,0.25832804995364045,0.19675022680159515,0.661686976918334,0.21135001232675754,0.418620836840475,0.2601911883982614,0.2672906508722158,0.5106539597944197,0.593749432585185,0.6027541358861845,0.6705483570662858,0.5035131219750371,0.6048810903797734,0.3240936788599944,0.38836988714974086,0.4958909055626447,0.5123040789216825,0.32179711450403425,0.3681941925184833,0.4786437494064273,0.4935607308396748,0.47578019856132914,0.47953669661947396,0.48944046295145227,1.0,0.5207891151633055,0.34858187005240693,0.4660886982918985
Elementa philosophiae,0.19923368934376406,0.0,0.3379553726322241,0.31150837285471267,0.5114840600204631,0.180554332643995,0.1719490602471101,0.25338797747036923,0.27019564285943953,0.21152659366118853,0.12694437456889862,0.6294757198126575,0.18662511190136044,0.28128544788701426,0.189432492658561,0.18904472140354844,0.46126360793060917,0.6000461362454337,0.5926124506320392,0.6689863425327864,0.4879387364316964,0.5753730400934618,0.2906408662565132,0.3165512481520394,0.49188615733839114,0.44699889286593497,0.3088114651607319,0.33603396258374707,0.4650214199233679,0.48057637566173284,0.45860983252502696,0.4693914168316978,0.47711100694840014,1.0,0.47791335171548543,0.35967408283586133,0.41881359476990776
Elegia,0.3589414089727363,0.3379553726322241,0.0,0.1815443053386595,0.19030210438778572,0.18703642707269186,0.22944178489335298,0.413082633708601,0.48066545006439876,0.336657297940158,0.28301986812538515,0.7207668007666497,0.2924040572893448,0.517438793801487,0.36367644932775356,0.3749188173207628,0.4924448100195822,0.5641127638749132,0.5632939877075691,0.6266196914059968,0.46126802514078546,0.584315234442289,0.14657355246009507,0.19998277666407183,0.3144587890553131,0.24739377450817168,0.17256608517043215,0.17699538652567104,0.15534142500132497,0.1688882234971405,0.15217797916972065,0.1605474165967089,0.1710052463565095,1.0,0.2605446554337105,0.24364841859285702,0.251794953574217
Alexandreis,0.3526589146205342,0.31150837285471267,0.1815443053386595,0.0,0.1061769198947411,0.22118594946370085,0.2616392955488438,0.3432857315586799,0.4803130129756318,0.23487325302684803,0.20170023339504006,0.7193129137891545,0.3139462109706197,0.49466587400953743,0.3468728096667486,0.3545054356921431,0.602399867897609,0.6711824567216209,0.6653237060456677,0.7235112946271276,0.5613830075687256,0.68056032739619,0.13590531871511646,0.07906765995368525,0.20998121050592555,0.06897930493309878,0.16777703822041878,0.12653869739166457,0.2628040117843925,0.2853487320440111,0.273825862787654,0.2748664750316332,0.2971102432875278,1.0,0.06945682670529985,0.21812128718910062,0.07363711566467368
Bucolicum carmen,0.5531782093905904,0.5114840600204631,0.19030210438778572,0.1061769198947411,2.220446049250313e-16,0.35435926230195847,0.39454558694923336,0.5221862719481206,0.5675694139334738,0.4345488074691912,0.3647008262768211,0.7937888464170465,0.4689339839771913,0.6292592170127582,0.5074683573804905,0.5102540113380487,0.6700980299647836,0.7317935140514488,0.7174984975645011,0.7708373137101278,0.6447576166579648,0.7393330586391205,0.21262423141535491,0.12935010038863037,0.259046968181458,0.06050154586966061,0.24585693487139526,0.18496123752153093,0.19384695072720903,0.21200958315722795,0.20858787848317795,0.20582323241253586,0.22255969627418226,1.0,0.06713486396526891,0.3107626821440921,0.08891445260680297
Carmina Burana,0.2129309445381491,0.180554332643995,0.18703642707269186,0.22118594946370085,0.35435926230195847,6.661338147750939e-16,0.1308348386925936,0.2657130746097327,0.3916978507286395,0.19347628720312338,0.20404146148746027,0.6659052744076284,0.16890331756653532,0.3991317525953517,0.2525191766079584,0.2520450697176916,0.4867156729600808,0.5829823829638651,0.5852300950274351,0.6493972349119224,0.48335388339123675,0.5938647719000714,0.20897002404238196,0.2609080540934807,0.42636470184240294,0.379008199393973,0.26690374032937025,0.2907929826205582,0.28731053503638804,0.3095696560431319,0.2954306694495127,0.29906147784834414,0.3078912884169632,1.0,0.364426186458801,0.22664063824686398,0.3075381522796026
Rota Veneris,0.2475552991896005,0.1719490602471101,0.22944178489335298,0.2616392955488438,0.39454558694923336,0.1308348386925936,3.3306690738754696e-16,0.2369650704306907,0.34242659839207434,0.21875876853448584,0.1989227027250935,0.6685698778411293,0.18380091605223092,0.39700886355179543,0.2584907309548794,0.25442528915644136,0.5494882020526918,0.6439983442289658,0.6317438153578825,0.6852816717347032,0.5292424697156647,0.6440917435531861,0.2697477654109063,0.30832559880742705,0.4589005050643248,0.4019212826922234,0.3190963585645401,0.3318669749057491,0.3180332533054583,0.3405175364242311,0.32443732798917635,0.32989909877314527,0.33557553006099183,1.0,0.3924625657515316,0.3140357307436603,0.3343315306167185
Ars grammatica,0.343440977388875,0.25338797747036923,0.413082633708601,0.3432857315586799,0.5221862719481206,0.2657130746097327,0.2369650704306907,2.220446049250313e-16,0.42732014180623457,0.2528666265955002,0.1813890078999374,0.6704638394571306,0.2887420332042647,0.4487022050313,0.2992601041005072,0.32033602650260407,0.6124292480017006,0.6763490628934263,0.67135708675098,0.7260280950905911,0.5623317662190854,0.6717285018447245,0.38120698037248557,0.37738905010646284,0.3406154759767617,0.4714298513340821,0.40260651273917525,0.3985306320448232,0.4947200044331007,0.5062221658182035,0.49803885815833127,0.5010651277493596,0.5064202759833415,1.0,0.48118931707788326,0.40760316221417314,0.43042177735378984
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.38660427446004864,0.27019564285943953,0.48066545006439876,0.4803130129756318,0.5675694139334738,0.3916978507286395,0.34242659839207434,0.42732014180623457,2.220446049250313e-16,0.4325247603368886,0.2991014720971765,0.6500036144144596,0.35318054070788474,0.4860424347718696,0.24786989532592085,0.22857311207964126,0.5328666106384765,0.6504471499444469,0.6390608157862105,0.7063532952042906,0.5592928489406694,0.621629849348933,0.45882909903725544,0.4339808604189561,0.5880110773459999,0.527840466773795,0.446442354557296,0.4607895911787121,0.5884443855682735,0.6001158833050666,0.5839299448495043,0.5928504890923934,0.5982275564577538,1.0,0.5745617210613857,0.541751197818313,0.546622699624949
De excidio Troiae historia,0.25832804995364045,0.21152659366118853,0.336657297940158,0.23487325302684803,0.4345488074691912,0.19347628720312338,0.21875876853448584,0.2528666265955002,0.4325247603368886,0.0,0.18381040080050282,0.6758847251884141,0.2441028350084422,0.42333495612743766,0.2191463991575221,0.2278101474081391,0.5505672532170901,0.652026748443169,0.6414560078106103,0.7057406126484116,0.5300696936591458,0.6355829975408659,0.30509241444356905,0.28401712980779936,0.37769871228304375,0.38085406525615895,0.3385091886329511,0.35393354397700727,0.4449176370452589,0.4650156912632807,0.45760797817039345,0.45804327611904216,0.4669329251403811,1.0,0.36127525026990515,0.3333633125326262,0.32404752754525035
De nuptiis Philologiae et Mercurii,0.19675022680159515,0.12694437456889862,0.28301986812538515,0.20170023339504006,0.3647008262768211,0.20404146148746027,0.1989227027250935,0.1813890078999374,0.2991014720971765,0.18381040080050282,0.0,0.6128215542996066,0.2253735009848148,0.36678580361781543,0.15956402249193613,0.17474426137059795,0.461895723870014,0.5638122458428361,0.5607002743332393,0.641691725006811,0.42291767352064147,0.5563040792310417,0.21290419321267762,0.20702208810450418,0.28285693077281615,0.29277400536402287,0.209824108529986,0.2164021676088732,0.39770392818460987,0.4080209073250636,0.39296610873846916,0.40016068394447535,0.4131970339110548,1.0,0.3256608232745516,0.28003655149332063,0.2872513470332668
Commentarius in Vergilii Aeneidos libros,0.661686976918334,0.6294757198126575,0.7207668007666497,0.7193129137891545,0.7937888464170465,0.6659052744076284,0.6685698778411293,0.6704638394571306,0.6500036144144596,0.6758847251884141,0.6128215542996066,0.0,0.6461137957754046,0.7331030215417988,0.5935760414996591,0.6069796586453524,0.7494190829882803,0.8040900708981505,0.802614044169543,0.8376847817895221,0.7441879105124904,0.7935672976862298,0.7033454851008549,0.7053532754138905,0.7477462026886155,0.7671501517865911,0.6928602896792345,0.7095699190812654,0.7736919292759119,0.7749975736829589,0.7684912689554445,0.7733709821228948,0.7761310345231855,1.0,0.7818481998893582,0.7250818630518185,0.7633623208901639
Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,0.21135001232675754,0.18662511190136044,0.2924040572893448,0.3139462109706197,0.4689339839771913,0.16890331756653532,0.18380091605223092,0.2887420332042647,0.35318054070788474,0.2441028350084422,0.2253735009848148,0.6461137957754046,0.0,0.4059556365194269,0.22015924485531124,0.21801212034416229,0.5070361582647592,0.6247985808055335,0.6143855792014661,0.686245659585421,0.5280625571136923,0.6140134413111757,0.30584433871196226,0.32243767718222005,0.49382639673251083,0.44770194399755125,0.3343522437623202,0.3720682958916177,0.4256751102794655,0.4487287757073729,0.4311294566936985,0.4373157737196429,0.4477173386343116,1.0,0.4436002863079008,0.32312535766359707,0.37298879138056684
De philosophia,0.418620836840475,0.28128544788701426,0.517438793801487,0.49466587400953743,0.6292592170127582,0.3991317525953517,0.39700886355179543,0.4487022050313,0.4860424347718696,0.42333495612743766,0.36678580361781543,0.7331030215417988,0.4059556365194269,6.661338147750939e-16,0.41592591547683866,0.4174561704696891,0.6166937965645614,0.716446913158173,0.7083208970433856,0.7638080350112585,0.6154622314875042,0.6976664737100093,0.4859351069747584,0.5023795045599188,0.6278971241693375,0.5982319790374541,0.5010460660181326,0.5201682602570405,0.6075314526406769,0.6192894092924924,0.6042150122986983,0.6113580114714255,0.6171592981125565,1.0,0.616605615940097,0.5323165285793483,0.5726330944052749
In Vergilii Aeneide comentarii,0.2601911883982614,0.189432492658561,0.36367644932775356,0.3468728096667486,0.5074683573804905,0.2525191766079584,0.2584907309548794,0.2992601041005072,0.24786989532592085,0.2191463991575221,0.15956402249193613,0.5935760414996591,0.22015924485531124,0.41592591547683866,0.0,0.01927931141056416,0.46902249748476554,0.5791832717030898,0.577283764398778,0.6525882877635762,0.45433262686561915,0.5582342639204614,0.34490549708614315,0.33110907974922765,0.43637151480394953,0.4537767551290054,0.31988003199746007,0.3600062567215844,0.4858590289613208,0.49224604013538464,0.4787911860225832,0.4881707417109584,0.49631016178215226,1.0,0.46916010179761325,0.3862268168763695,0.4337858425678254
In Vergilii Georgicis comentarii,0.2672906508722158,0.18904472140354844,0.3749188173207628,0.3545054356921431,0.5102540113380487,0.2520450697176916,0.25442528915644136,0.32033602650260407,0.22857311207964126,0.2278101474081391,0.17474426137059795,0.6069796586453524,0.21801212034416229,0.4174561704696891,0.01927931141056416,0.0,0.49263831247816303,0.6052144475735969,0.5968399031579434,0.6702338389310943,0.48324687402519473,0.5870015880687038,0.35865054440221344,0.33944512765199963,0.4792159950350149,0.46047763077595183,0.3482836160748243,0.38592059591041916,0.4998420278537009,0.5102510981743328,0.498188699654159,0.5069236908449686,0.5144941169029453,1.0,0.46909484485883834,0.38761519025898317,0.42025982699507314
