,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.1498575222543359,0.22841177016522551,0.26112080846920327,0.4107531635128798,0.15388261966451977,0.16489576128271044,0.29060052519183077,0.20994409393900904,0.22978200630994494,0.145234022042521,0.5480287570074571,0.1999393554320954,0.16332157467953134,0.1718168756445171,0.17817896734885563,0.33813464984691,0.41136826096873524,0.39796877819418164,0.46249415929671234,0.31432811701638785,0.3672557470171005,0.2546525291315771,0.2530650501151184,0.32896868710065985,0.3755121577864472,0.23084367063899824,0.24857790202573982,0.3176315471282771,0.3172962080747539,0.3081023358776449,0.30863976570564344,0.31264062131100345,1.0,0.46946946575094795,0.32236707582339064,0.4663292091402247
Elementa philosophiae,0.1498575222543359,0.0,0.2461039931462079,0.26620724008050456,0.4077429588616297,0.15259732232467327,0.1370719113884693,0.22212519231714056,0.13744226726231057,0.19762717193660495,0.10904865391827867,0.5249800424799507,0.17793171969205002,0.01427384979984736,0.13309440048214638,0.13206926634483285,0.2982917061103372,0.4081338757714582,0.38970657357765315,0.4518035163542343,0.3015934347134418,0.3469781315432626,0.23619326497795656,0.20502450805911498,0.3561100272763156,0.3405666992740345,0.2349430289587895,0.2440620630816508,0.34149145506581435,0.3410106409168838,0.3273841700743013,0.33607508492789595,0.3356102317056906,1.0,0.4626981269256062,0.34621775154310797,0.4377888266175415
Elegia,0.22841177016522551,0.2461039931462079,1.1102230246251565e-16,0.16931290512189678,0.19165025666936275,0.12895262043455236,0.18597541863244849,0.37612455942452283,0.3080816185962083,0.2978456810490624,0.18986128989972095,0.59406448907391,0.25991070709108577,0.2531544261914138,0.24505167270566708,0.25460889628072747,0.18948925454140597,0.2722232166490115,0.2476683640101227,0.33054478033006596,0.16910623778611933,0.24280603091761743,0.06889863825403064,0.1293225843712601,0.1855787111910907,0.20894350378583637,0.0706702672650269,0.07994438554038619,0.09694337928248808,0.09493585994166764,0.08726769674617652,0.0927806070761934,0.09520662683494652,1.0,0.29537463468644376,0.1537976795961692,0.32400846159789387
Alexandreis,0.26112080846920327,0.26620724008050456,0.16931290512189678,0.0,0.09498944320827252,0.17341660833004824,0.20492184485032938,0.3205088849354639,0.3649200269724602,0.22689363143921337,0.16449405004848883,0.620190837383851,0.3047482238945358,0.2611513989553361,0.2707498012498465,0.2703407352393118,0.4132617657847485,0.4794274704727475,0.45660019330803836,0.5261205823671813,0.38385209959705546,0.4568200300424714,0.17340972133683008,0.12326019002153621,0.17934037897523147,0.08181415938518599,0.1913223601668841,0.16321350146103264,0.1949579170828859,0.21062822120185387,0.21489843047445034,0.2071379773692693,0.21526347828239123,1.0,0.09527718999249446,0.21948808182984836,0.11799697516937402
Bucolicum carmen,0.4107531635128798,0.4077429588616297,0.19165025666936275,0.09498944320827252,0.0,0.26458096392383657,0.3350202089802945,0.4817364400310692,0.4726139932213095,0.3801576248186399,0.2779339819166149,0.6867475604832283,0.4035953813340256,0.39906294979499357,0.3891118364037829,0.3855295376934511,0.4063426415322289,0.477844470435122,0.44935971345743786,0.5229139243714948,0.395670181435142,0.46054679823976463,0.17444996629765697,0.129957354796723,0.20940734561124108,0.046607276884669924,0.20064222955994482,0.162370435444519,0.16364758861477913,0.1814909849936841,0.18397192506305549,0.17822770969030455,0.1863771132272618,1.0,0.054341939449817245,0.18844945735484164,0.08019259022488878
Carmina Burana,0.15388261966451977,0.15259732232467327,0.12895262043455236,0.17341660833004824,0.26458096392383657,0.0,0.09865377673381082,0.23309444879434071,0.24016329441249584,0.18336346405257065,0.14748745836312627,0.5565033390415854,0.17116340938367292,0.15305199924930935,0.17212079095511035,0.1703605198508329,0.2397395053356871,0.32714816402375724,0.3077505966352171,0.3873119960559732,0.2330408538877179,0.2944937308291271,0.1396071912836544,0.16731257568813818,0.27966739082818337,0.282441936994853,0.15934661929648142,0.17438652855838088,0.186514240177713,0.19036231808638693,0.18807095425847886,0.1874864353813317,0.18971247914367662,1.0,0.32682589095177594,0.13059767816643753,0.32241773772104776
Rota Veneris,0.16489576128271044,0.1370719113884693,0.18597541863244849,0.20492184485032938,0.3350202089802945,0.09865377673381082,0.0,0.19948749412429634,0.24732243743208415,0.20886671724094807,0.1367010141348578,0.5644580287749795,0.17118619317136508,0.13896223735010083,0.1893057536589079,0.18089759535795835,0.33154823905583497,0.4087871781463044,0.381710837693499,0.45363681293537905,0.3056853298445432,0.37750435726957066,0.20245020016258686,0.241946121868019,0.3278218447236255,0.331397325138753,0.22960492278153977,0.2385052524827973,0.24753893522940862,0.25411861317400875,0.2505708681707053,0.25103471400542,0.2505523467904558,1.0,0.3783130428818481,0.236022197041725,0.3601615212955944
Ars grammatica,0.29060052519183077,0.22212519231714056,0.37612455942452283,0.3205088849354639,0.4817364400310692,0.23309444879434071,0.19948749412429634,3.3306690738754696e-16,0.30393257590451617,0.23657154596416552,0.16650728672182757,0.5745919775186595,0.27425919289909806,0.21477303299851602,0.2329619790394064,0.2456246867072185,0.43047278197777117,0.48929646924867987,0.4766897507104305,0.5291250481300238,0.3907438132573844,0.45834987477200084,0.3631918243995892,0.33199108910457054,0.31457907664136353,0.4318375222155756,0.3619635011920024,0.3648567285240044,0.41962328819931694,0.4194003788953171,0.41853246043672443,0.4201264861347842,0.41789137511534236,1.0,0.4829805757335087,0.3776890923019236,0.45749355218817156
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.20994409393900904,0.13744226726231057,0.3080816185962083,0.3649200269724602,0.4726139932213095,0.24016329441249584,0.24732243743208415,0.30393257590451617,4.440892098500626e-16,0.2342911326751258,0.16209147122361178,0.5232416841080294,0.24662650236508055,0.15826019821105697,0.13519459390339916,0.1250406025404791,0.31662488242361,0.40540715051747434,0.3837827427943439,0.44695093660961405,0.2791423290453262,0.33994615143630535,0.33065217674588465,0.2782425655713019,0.4093931337917396,0.41978207683446045,0.30211714570284787,0.3154140208150913,0.41270574755454437,0.4102290130005237,0.3979869400939533,0.40660852175641515,0.40705768873651804,1.0,0.5310592797100296,0.4298363226522972,0.5318609131959573
De excidio Troiae historia,0.22978200630994494,0.19762717193660495,0.2978456810490624,0.22689363143921337,0.3801576248186399,0.18336346405257065,0.20886671724094807,0.23657154596416552,0.2342911326751258,1.1102230246251565e-16,0.16065046711316855,0.5749018595149055,0.2620684041414979,0.20030941490819032,0.17395876718802827,0.17325691295300127,0.37083936157731756,0.4494693913221667,0.4347857481887436,0.49458187290293376,0.3426707888042322,0.403609520426218,0.2984593834457654,0.24602165551754385,0.32599708130159055,0.3248804916403558,0.30680970718875655,0.3103999223432927,0.34665113951367355,0.3577083230087763,0.35724765770711164,0.35510800886270355,0.3560862409198824,1.0,0.3666059564844443,0.3543833095881205,0.3612325967587928
