,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,"Amores, Epistulae, Medicamina faciei femineae, Ars amatoria, Remedia amoris",Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,0.0,0.18446344224071198,0.34518610597236066,0.33979521488360487,0.54428884028841,0.20287154672488805,0.21241899424585853,0.3281023957648207,0.37401228228998273,0.23943561853983153,0.17987856957478865,0.6567279074165939,0.19582735731148415,0.2983814854058745,0.2468847595347924,0.25375655160218136,0.4237164937345037,0.5852878627259306,0.5940946273579133,0.6149464825401201,0.4843992066123739,0.5937995953836424,0.30899812882778166,0.3765921608255697,0.4706113842226708,0.5038200206266253,0.3060653388756778,0.353812762058075,0.4655323635311862,0.48077617429974173,0.46155585503246876,0.46645468382948074,0.47705680817942686,1.0,0.5105051929138923,0.3155073676579514,0.45476768383015964
Elementa philosophiae,0.18446344224071198,0.0,0.3294889389752246,0.30268859156623495,0.506567534477273,0.17454188186962127,0.14334821773070028,0.24758203060823258,0.26260765377041295,0.19971550240880664,0.12073043562559738,0.6278557527740058,0.17914095518971418,0.14754233642146253,0.18350004608136827,0.18401492963216048,0.37110104879055184,0.5953635485417501,0.5883562487178253,0.616481603122464,0.4733980197898858,0.5674526765083416,0.2826470578395852,0.3092488251120372,0.47224781652378933,0.4428631348587223,0.29851345585455835,0.32598653516373544,0.45566491302369394,0.47111503514390174,0.44811883024927224,0.45983172924202476,0.4679522085601696,1.0,0.4720241380897118,0.33546687436008915,0.4137456232024621
Elegia,0.34518610597236066,0.3294889389752246,0.0,0.17107451202510826,0.182419318638261,0.18118653077292046,0.2000844914541119,0.4044427109251698,0.4716683816494889,0.3238468854150983,0.27312347797898195,0.7183720278677346,0.28276455281549884,0.420901384688131,0.35624276740229555,0.3679690049603739,0.4058160223499475,0.5585562782036263,0.5572955881146078,0.5661214495363021,0.44511329754449713,0.5753447817237971,0.1372928989792992,0.19022034722770043,0.290013101210854,0.24009015575778547,0.16337981193109086,0.16774559681761403,0.15018226183815664,0.16362057523936457,0.14569680210520397,0.15486262385116656,0.1655727329740302,1.0,0.2511085183149596,0.2132971795611398,0.24265487532720742
Alexandreis,0.33979521488360487,0.30268859156623495,0.17107451202510826,0.0,0.09908234993355447,0.21681912392824654,0.23555625489492193,0.33503276823920813,0.4725630888504633,0.22908247286604144,0.1930344163188884,0.7185506499935299,0.3029720621521491,0.39400968350262455,0.3427981775244564,0.3494754661452446,0.5360137779952509,0.66844512942054,0.6619650050157954,0.67981622245636,0.5494444083558602,0.6750750871851092,0.12888069691564286,0.07238494417293573,0.18330321670929284,0.0636937545434978,0.15983457783636934,0.11645553610237802,0.25291102324526504,0.27565607481014065,0.2632183898910585,0.26476780703963176,0.2878442052331147,1.0,0.06419680241828762,0.1880937765069407,0.06633669074219362
Bucolicum carmen,0.54428884028841,0.506567534477273,0.182419318638261,0.09908234993355447,0.0,0.35272261861716037,0.37600605395163444,0.5187262769754546,0.5624362409609882,0.42830219771498357,0.36020415155983354,0.7937832699229318,0.46321127727391853,0.5566101806262083,0.505713078002508,0.5086117015173546,0.6171961231342216,0.7310739933919022,0.7163932233597046,0.735823940746587,0.6373765863708987,0.7364440387447132,0.20990349907930195,0.12484604122779974,0.23419519197426508,0.05686484439350126,0.2420796118531836,0.17994961423205158,0.18723781683690477,0.2057442402687868,0.2014801066720252,0.19916109253720882,0.2167143191888804,1.0,0.062395227430877,0.29788567527492205,0.08549663153708675
Carmina Burana,0.20287154672488805,0.17454188186962127,0.18118653077292046,0.21681912392824654,0.35272261861716037,0.0,0.10467470524490563,0.26000898270026385,0.38581845198694587,0.18497177208077153,0.19906772092192204,0.6655282994272249,0.16107590539969807,0.28303644009487994,0.24936493664621073,0.24884307418923135,0.40400681630284185,0.5808988717075646,0.5831703094396452,0.5956629565759554,0.4720148755666962,0.588708607961386,0.20508722963408654,0.25724902588316534,0.40766334449845065,0.3775826655248109,0.26276042405852507,0.28632935751775734,0.28200918985671,0.3043826923224352,0.2893518938928712,0.2936146665364153,0.3028375860900231,1.0,0.36108663778610295,0.2022820401734945,0.30375639954456457
Rota Veneris,0.21241899424585853,0.14334821773070028,0.2000844914541119,0.23555625489492193,0.37600605395163444,0.10467470524490563,0.0,0.21155798161525619,0.34646207687356445,0.18968985513447334,0.17209131101897823,0.659148691211066,0.15534940424152133,0.26116984442331137,0.23512907690835938,0.2311895816683368,0.4649314565986814,0.6329688358544603,0.6211519014807455,0.6282251042287037,0.5078330515907463,0.6305179371188903,0.2453339203221565,0.28452169883118594,0.424076864394648,0.3836655029518138,0.29597814217928853,0.3080597146802696,0.2936409424139974,0.3165603636003552,0.29927439532821354,0.30552143166491097,0.31189159659334154,1.0,0.3724074076810253,0.27097969208381345,0.3119487744159679
Ars grammatica,0.3281023957648207,0.24758203060823258,0.4044427109251698,0.33503276823920813,0.5187262769754546,0.26000898270026385,0.21155798161525619,0.0,0.42033559066371773,0.24307193138212368,0.17728159721898118,0.6694501278973246,0.28245520443373384,0.3420459329942933,0.29521053845509027,0.3170349557564057,0.5489594097956838,0.6738154755005354,0.6689548843219306,0.6835820487263522,0.5512325968467757,0.6668351711995709,0.3755098651643377,0.37144771478815874,0.31422759628387,0.46769461093868636,0.39518468807340024,0.3904057628057098,0.4872859604486771,0.49879278053648246,0.48980283034853156,0.49379458329680437,0.49928794477228056,1.0,0.47597726097257564,0.3849265622578779,0.42583846326312114
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.37401228228998273,0.26260765377041295,0.4716683816494889,0.4725630888504633,0.5624362409609882,0.38581845198694587,0.34646207687356445,0.42033559066371773,0.0,0.4222891349298381,0.29153594737080946,0.6473476225438692,0.3431354433049032,0.38473120385962767,0.23978564628232468,0.22089033404342706,0.4529037591517877,0.6455619089408567,0.6342191904377179,0.659158246034252,0.5452237516772869,0.6132164517077807,0.451117599149335,0.426355796459178,0.5705090577283056,0.5227077294153892,0.43708942617687574,0.45151994479205393,0.5803212714252938,0.5920668810516836,0.5749915056674129,0.584597036765287,0.5902921722148278,1.0,0.5686857191302542,0.5230324517111391,0.5412679042065281
De excidio Troiae historia,0.23943561853983153,0.19971550240880664,0.3238468854150983,0.22908247286604144,0.42830219771498357,0.18497177208077153,0.18968985513447334,0.24307193138212368,0.4222891349298381,0.0,0.17288168760899403,0.6737743511834656,0.23139572743866244,0.30706690843380535,0.21158574788372309,0.21992716704725646,0.47694140821315334,0.6493063298012121,0.6384182439844237,0.6601162673462035,0.5180149604014752,0.6296685838565536,0.29741286577456216,0.27735266169333395,0.3519068223031827,0.37550334143451036,0.328212238304025,0.34331196579678536,0.43500120589117,0.4555869680825949,0.44755483975255317,0.44819071688325796,0.4577333246722939,1.0,0.3552318210247979,0.3067156439562845,0.31664307130138825
