,De contemptu mundi,Elementa philosophiae,Elegia,Alexandreis,Bucolicum carmen,Carmina Burana,Rota Veneris,Ars grammatica,Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,De excidio Troiae historia,De nuptiis Philologiae et Mercurii,Commentarius in Vergilii Aeneidos libros,Liber de doctrina dicendi et tacendi (Tractatus de arte loquendi et tacendi) ,De philosophia,In Vergilii Aeneide comentarii,In Vergilii Georgicis comentarii,Adelphi,Andria,Eunuchus,Heautontimorumenos,Hecyra,Phormio,Amores,Epistulae (vel Heroides),Medicamina faciei femineae,Ars Amatoria,Remedia amoris,Fasti,Ibis,Metamorphoses,Ex Ponto,Tristia,B1,P3,W1,To,P5,F,Aeneid,Eclogues,Georgicon
De contemptu mundi,3.3306690738754696e-16,0.1877350948649965,0.2529133589910031,0.3379247511548672,0.4767502510635977,0.175407938773815,0.20743074247044535,0.32658788368672687,0.17963728605933016,0.33811982583042743,0.20097369214961025,0.5955936662882695,0.2103935893682497,0.3600879190782391,0.20626099218854121,0.21879487786170781,0.39752277857354845,0.4924818396063424,0.4918214744264213,0.5619520674914049,0.37061254851123937,0.477062535862268,0.2589864803354709,0.2691075718818896,0.3834299633019518,0.2661851852499906,0.23518157869447853,0.28263496386603904,0.4203794401477654,0.4236736603372302,0.25520065848838147,0.2781540376789462,0.3125794580473905,0.3104690397711316,0.2995337969783891,0.3011059771716128,0.29942529002888507,1.0,0.5317947817892649,0.31883409820433295,0.5029467171879523
Elementa philosophiae,0.1877350948649965,0.0,0.2540793122244942,0.31877484179143334,0.4558660153442148,0.17466998472791384,0.16745746691081198,0.2704975460355886,0.10069026850915719,0.31354854670851917,0.13144615020345107,0.5744092088877075,0.20525832012204248,0.21507233241093981,0.16889851738954642,0.1647761084116277,0.35020422421238295,0.48191401650915533,0.46949995260309785,0.5436295273485334,0.33799992701408943,0.4467428199866964,0.2312216466403716,0.24726358904515444,0.3367101640883946,0.2233768910867785,0.20148547490926672,0.2371858332294121,0.40943944445157754,0.3810065401830367,0.23927439704133724,0.25779799479282595,0.33407043544356685,0.32893561311463326,0.3146920123918987,0.32403074464744097,0.3175659530600976,1.0,0.5148305125263594,0.32063532614198753,0.4723519113620207
Elegia,0.2529133589910031,0.2540793122244942,0.0,0.20190236907408277,0.2407159681854385,0.16362950183795644,0.2395685231154121,0.40222558383985185,0.25795011583039473,0.35657654122046434,0.21076351842962826,0.6282401674664414,0.284243603428765,0.41003322272270515,0.26082811045025667,0.26677343379515595,0.3306450125455975,0.44343603306364077,0.4330020093491411,0.5098419464790109,0.29985445885954953,0.4300036929150207,0.09464156129207546,0.09812409100742603,0.2931522483655251,0.11211866329016007,0.1177662049636794,0.1415591319685846,0.2636397190055312,0.22615687716035726,0.1073718988856962,0.11091964475543836,0.12010137086230954,0.11875173895128233,0.10872065498729966,0.11869121370063218,0.11573655487117929,1.0,0.33700811611818704,0.2144880079572341,0.33184993694959786
Alexandreis,0.3379247511548672,0.31877484179143334,0.20190236907408277,0.0,0.11622920586639696,0.20980380451305525,0.26930245281472986,0.365468281767354,0.3706439107165391,0.3037727091904494,0.21842485429666314,0.67245199098934,0.3470137946456955,0.44963726771539236,0.31901209003945585,0.32042974631664023,0.5187712405871556,0.5999987803885458,0.586070711480321,0.6526834554213028,0.4842009334355757,0.597549988057057,0.1788660138052358,0.1900820200588731,0.25284958430326965,0.1800736477059688,0.2547543860816275,0.13815499996257863,0.240258004919922,0.08986456787871722,0.21491976933340073,0.18495323173841882,0.18551493286479703,0.20164384985590345,0.20744482887371907,0.1995913522073548,0.20179587103681662,1.0,0.10486198302593142,0.21368049079517504,0.11922623248762798
Bucolicum carmen,0.4767502510635977,0.4558660153442148,0.2407159681854385,0.11622920586639696,4.440892098500626e-16,0.3238753793202044,0.4018024059123386,0.5363640603591062,0.47344096889075327,0.4505481841954263,0.3207231527923442,0.7350836796493578,0.45672425839816233,0.545978019066429,0.44056476583937687,0.4304770556416505,0.5559734167819028,0.6381780624760649,0.619424719893559,0.6814395318596436,0.5332145949987375,0.6344230800644265,0.20967140715653798,0.2091367661804402,0.2982666345889907,0.20704600603304435,0.31053279441253634,0.15934856749830006,0.27018746938330596,0.05752066684476509,0.25145585707242657,0.2040738657878316,0.1937184270533241,0.21355194200646788,0.21648919450243864,0.21165454252497717,0.21527763328637073,1.0,0.07405981887982149,0.2137918552086644,0.07855011995170047
Carmina Burana,0.175407938773815,0.17466998472791384,0.16362950183795644,0.20980380451305525,0.3238753793202044,0.0,0.12800933455355545,0.26492516101046015,0.20767904678487237,0.2640286764479678,0.1745153634601584,0.5992394339942155,0.19151015091323975,0.3413779043826416,0.19784900826311003,0.19203540469265912,0.374720837902904,0.4828172380755288,0.4759249022846239,0.552560164834953,0.36059857263333894,0.4735392233706537,0.16000115435959017,0.1974081772089622,0.28417755974032377,0.18054002393129576,0.15342075858778847,0.1971915353889354,0.35550344268309697,0.3188337888052688,0.20330278684968528,0.21981362602972865,0.2160690244075354,0.22030304707514936,0.2165431115332659,0.21835392867950632,0.2147693591379478,1.0,0.3780702941140407,0.15223745504500807,0.34256154127995886
Rota Veneris,0.20743074247044535,0.16745746691081198,0.2395685231154121,0.26930245281472986,0.4018024059123386,0.12800933455355545,0.0,0.22474480365699145,0.22205046589764288,0.302492181457519,0.17057306417455997,0.6091477037052502,0.1822479434194798,0.33489622741100344,0.2202474747338703,0.20796957416610762,0.43471537204843225,0.5404825161721678,0.5195885846531649,0.5940088593828974,0.40766772846661736,0.5311627462783303,0.2353652849426916,0.27074106195387915,0.31142580362013805,0.2523435241622226,0.21091787621393676,0.28330703070783925,0.4203762875601651,0.38319226831862174,0.2775477768386483,0.29704917588947255,0.2771427731409599,0.2846338933503223,0.2794852867134021,0.2813654027874031,0.27750072746192933,1.0,0.4349028179639216,0.2529020172084263,0.3885444418771148
Ars grammatica,0.32658788368672687,0.2704975460355886,0.40222558383985185,0.365468281767354,0.5363640603591062,0.26492516101046015,0.22474480365699145,5.551115123125783e-16,0.30077327441101187,0.34410443791110135,0.174263311444526,0.6202529027996053,0.31097035807704887,0.4116276389518403,0.2694057785941907,0.2835911234309332,0.5115306210405841,0.5845281870471576,0.5756263550451834,0.6318686657929431,0.4540331406807606,0.5693815570924928,0.37858948921513513,0.39298100888512877,0.44596647980168413,0.37216901718888784,0.35058011948502354,0.3772931381680854,0.35095922460158147,0.4767319372887896,0.38404756917226257,0.3927034825544278,0.43613910123649036,0.4321119478486103,0.43153593505170806,0.4340398216169473,0.4262065518036746,1.0,0.5373101354873167,0.3778821047971973,0.4991574586229832
Commentarium in Martiani Capellae «De nuptiis Mercurii et Philologiae» I-II,0.17963728605933016,0.10069026850915719,0.25795011583039473,0.3706439107165391,0.47344096889075327,0.20767904678487237,0.22205046589764288,0.30077327441101187,1.1102230246251565e-16,0.3463047988216914,0.14873789207543675,0.5494277232600681,0.20007134043643393,0.2948269197078477,0.13003990439637458,0.13511289651577152,0.347089725293414,0.4852783532467162,0.4645461982915269,0.5349492639014437,0.3180136299323868,0.43474669994230153,0.250042698248958,0.24756462270251012,0.35115667362482195,0.2302967012144952,0.212181503555403,0.22675863037325716,0.41211695720861474,0.39758840919881777,0.23813407655386976,0.26121844475695033,0.35042789974416655,0.3434507200304857,0.3266586205094336,0.3404906850824231,0.33285906497632656,1.0,0.5416384707832358,0.35320609522096535,0.514523408042587
De excidio Troiae historia,0.33811982583042743,0.31354854670851917,0.35657654122046434,0.3037727091904494,0.4505481841954263,0.2640286764479678,0.302492181457519,0.34410443791110135,0.3463047988216914,1.1102230246251565e-16,0.2655107800234725,0.6535856022650435,0.3511052690074672,0.4536531333768119,0.27078783721340083,0.28571549543377905,0.4796571182972409,0.5781109705572731,0.5650006359000639,0.6321100265596815,0.4570279200023988,0.5579309474960196,0.3318074123320768,0.3480502609946091,0.37935567840003426,0.3260042499677617,0.32578953485544304,0.31231114600721377,0.40417329459565454,0.3938186630583046,0.35157006424258763,0.3640462191325826,0.3738774510863089,0.380096395650504,0.38135766248635694,0.3783979811186491,0.3745240797905316,1.0,0.4273917038309226,0.35835702678039316,0.4273576509852469
