Date Range,Walk Length,Context Window Size,Return Parameter,In-Out Parameter,used_stop_docs,File Name
"(1200, 1325)",100,10,1.5,1,n,model-1200-1325-20230812-67.n2v
"(1200, 1325)",100,20,1.5,1,n,model-1200-1325-20230812-68.n2v
"(1200, 1325)",150,5,1.5,1,n,model-1200-1325-20230812-69.n2v
"(1200, 1325)",150,10,1.5,1,n,model-1200-1325-20230812-70.n2v
"(1200, 1325)",150,20,1.5,1,n,model-1200-1325-20230812-71.n2v
"(1200, 1325)",50,5,1.5,1.5,n,model-1200-1325-20230812-72.n2v
"(1200, 1325)",50,10,1.5,1.5,n,model-1200-1325-20230812-73.n2v
"(1200, 1325)",50,20,1.5,1.5,n,model-1200-1325-20230812-74.n2v
"(1200, 1325)",100,5,1.5,1.5,n,model-1200-1325-20230812-75.n2v
"(1200, 1325)",100,10,1.5,1.5,n,model-1200-1325-20230812-76.n2v
"(1200, 1325)",100,20,1.5,1.5,n,model-1200-1325-20230812-77.n2v
"(1200, 1325)",150,5,1.5,1.5,n,model-1200-1325-20230812-78.n2v
"(1200, 1325)",150,10,1.5,1.5,n,model-1200-1325-20230812-79.n2v
"(1200, 1325)",150,20,1.5,1.5,n,model-1200-1325-20230812-80.n2v
"(1, 1325)",50,5,0.5,0.5,n,model-1-1325-20230812-0.n2v
"(1, 1325)",50,10,0.5,0.5,n,model-1-1325-20230812-1.n2v
"(1, 1325)",50,20,0.5,0.5,n,model-1-1325-20230812-2.n2v
"(1, 1325)",100,5,0.5,0.5,n,model-1-1325-20230812-3.n2v
"(1, 1325)",100,10,0.5,0.5,n,model-1-1325-20230812-4.n2v
"(1, 1325)",100,20,0.5,0.5,n,model-1-1325-20230812-5.n2v
"(1, 1325)",150,5,0.5,0.5,n,model-1-1325-20230812-6.n2v
"(1, 1325)",150,10,0.5,0.5,n,model-1-1325-20230812-7.n2v
"(1, 1325)",150,20,0.5,0.5,n,model-1-1325-20230812-8.n2v
"(1, 1325)",50,5,0.5,1,n,model-1-1325-20230812-9.n2v
"(1, 1325)",50,10,0.5,1,n,model-1-1325-20230812-10.n2v
"(1, 1325)",50,20,0.5,1,n,model-1-1325-20230812-11.n2v
"(1, 1325)",100,5,0.5,1,n,model-1-1325-20230812-12.n2v
"(1, 1325)",100,10,0.5,1,n,model-1-1325-20230812-13.n2v
"(1, 1325)",100,20,0.5,1,n,model-1-1325-20230812-14.n2v
"(1, 1325)",150,5,0.5,1,n,model-1-1325-20230812-15.n2v
"(1, 1325)",150,10,0.5,1,n,model-1-1325-20230812-16.n2v
"(1, 1325)",150,20,0.5,1,n,model-1-1325-20230812-17.n2v
"(1, 1325)",50,5,0.5,1.5,n,model-1-1325-20230812-18.n2v
"(1, 1325)",50,10,0.5,1.5,n,model-1-1325-20230812-19.n2v
