Model Filename,Plot Filename,K
model-1-1536-20230830-40.n2v,kmeans-model-1-1536-20230830-40.png,8
model-1-1536-20230830-68.n2v,kmeans-model-1-1536-20230830-68.png,5
model-1200-1325-20230828-38.n2v,kmeans-model-1200-1325-20230828-38.png,5
model-1200-1325-20230828-10.n2v,kmeans-model-1200-1325-20230828-10.png,6
model-1200-1325-20230828-11.n2v,kmeans-model-1200-1325-20230828-11.png,5
model-1200-1325-20230828-39.n2v,kmeans-model-1200-1325-20230828-39.png,6
model-1-1536-20230830-69.n2v,kmeans-model-1-1536-20230830-69.png,10
model-1-1536-20230830-41.n2v,kmeans-model-1-1536-20230830-41.png,44
model-1-1536-20230830-55.n2v,kmeans-model-1-1536-20230830-55.png,5
model-1200-1325-20230828-2.n2v,kmeans-model-1200-1325-20230828-2.png,5
model-1-1325-20230829-21.n2v,kmeans-model-1-1325-20230829-21.png,9
model-1200-1325-20230810-29.n2v,kmeans-model-1200-1325-20230810-29.png,7
model-1-1325-20230829-35.n2v,kmeans-model-1-1325-20230829-35.png,5
model-1200-1325-20230810-15.n2v,kmeans-model-1200-1325-20230810-15.png,11
model-1-1325-20230813-20.n2v,kmeans-model-1-1325-20230813-20.png,13
model-1-1325-20230813-34.n2v,kmeans-model-1-1325-20230813-34.png,8
model-1200-1325-20230811-55.n2v,kmeans-model-1200-1325-20230811-55.png,6
model-1200-1325-20230811-41.n2v,kmeans-model-1200-1325-20230811-41.png,10
model-1-1325-20230812-8.n2v,kmeans-model-1-1325-20230812-8.png,6
model-1-1536-20230829-2.n2v,kmeans-model-1-1536-20230829-2.png,12
model-1-1325-20230814-66.n2v,kmeans-model-1-1325-20230814-66.png,6
model-1-1325-20230814-72.n2v,kmeans-model-1-1325-20230814-72.png,5
model-1-1325-20230813-53.n2v,kmeans-model-1-1325-20230813-53.png,25
model-1-1325-20230813-47.n2v,kmeans-model-1-1325-20230813-47.png,9
model-1200-1325-20230812-77.n2v,kmeans-model-1200-1325-20230812-77.png,7
