Model Filename,Plot Filename,K
model-1200-1325-20230828-23.n2v,kmeans-model-1200-1325-20230828-23.png,5
model-1200-1325-20230828-37.n2v,kmeans-model-1200-1325-20230828-37.png,7
model-1200-1325-20230828-36.n2v,kmeans-model-1200-1325-20230828-36.png,5
model-1200-1325-20230828-22.n2v,kmeans-model-1200-1325-20230828-22.png,6
model-1-1536-20230830-72.n2v,kmeans-model-1-1536-20230830-72.png,17
model-1200-1325-20230809-13.n2v,kmeans-model-1200-1325-20230809-13.png,6
model-1-1536-20230830-66.n2v,kmeans-model-1-1536-20230830-66.png,5
model-1200-1325-20230810-32.n2v,kmeans-model-1200-1325-20230810-32.png,7
model-1200-1325-20230810-26.n2v,kmeans-model-1200-1325-20230810-26.png,16
model-1-1325-20230829-12.n2v,kmeans-model-1-1325-20230829-12.png,6
model-1-1325-20230812-7.n2v,kmeans-model-1-1325-20230812-7.png,10
model-1200-1325-20230811-62.n2v,kmeans-model-1200-1325-20230811-62.png,5
model-1-1325-20230812-3.n2v,kmeans-model-1-1325-20230812-3.png,5
model-1200-1325-20230810-22.n2v,kmeans-model-1200-1325-20230810-22.png,5
model-1-1325-20230829-16.n2v,kmeans-model-1-1325-20230829-16.png,5
model-1200-1325-20230828-9.n2v,kmeans-model-1200-1325-20230828-9.png,6
model-1-1536-20230830-62.n2v,kmeans-model-1-1536-20230830-62.png,5
model-1-1536-20230830-76.n2v,kmeans-model-1-1536-20230830-76.png,6
model-1200-1325-20230828-26.n2v,kmeans-model-1200-1325-20230828-26.png,6
model-1200-1325-20230828-32.n2v,kmeans-model-1200-1325-20230828-32.png,6
model-1200-1325-20230828-33.n2v,kmeans-model-1200-1325-20230828-33.png,6
model-1200-1325-20230828-27.n2v,kmeans-model-1200-1325-20230828-27.png,6
model-1-1536-20230830-77.n2v,kmeans-model-1-1536-20230830-77.png,6
model-1-1536-20230830-63.n2v,kmeans-model-1-1536-20230830-63.png,10
model-1200-1325-20230828-8.n2v,kmeans-model-1200-1325-20230828-8.png,5
model-1-1325-20230829-17.n2v,kmeans-model-1-1325-20230829-17.png,5
model-1200-1325-20230810-23.n2v,kmeans-model-1200-1325-20230810-23.png,14
model-1-1325-20230812-2.n2v,kmeans-model-1-1325-20230812-2.png,10
model-1200-1325-20230811-49.n2v,kmeans-model-1200-1325-20230811-49.png,5
model-1200-1325-20230811-61.n2v,kmeans-model-1200-1325-20230811-61.png,9
model-1-1325-20230812-0.n2v,kmeans-model-1-1325-20230812-0.png,6
model-1-1325-20230813-28.n2v,kmeans-model-1-1325-20230813-28.png,6
model-1-1325-20230829-29.n2v,kmeans-model-1-1325-20230829-29.png,5
model-1200-1325-20230810-21.n2v,kmeans-model-1200-1325-20230810-21.png,6
model-1-1325-20230829-15.n2v,kmeans-model-1-1325-20230829-15.png,6
model-1-1536-20230830-75.n2v,kmeans-model-1-1536-20230830-75.png,5
model-1-1536-20230830-61.n2v,kmeans-model-1-1536-20230830-61.png,5
model-1-1536-20230830-49.n2v,kmeans-model-1-1536-20230830-49.png,7
model-1200-1325-20230828-19.n2v,kmeans-model-1200-1325-20230828-19.png,5
model-1200-1325-20230828-31.n2v,kmeans-model-1200-1325-20230828-31.png,7
model-1200-1325-20230828-25.n2v,kmeans-model-1200-1325-20230828-25.png,9
model-1200-1325-20230828-24.n2v,kmeans-model-1200-1325-20230828-24.png,6
model-1200-1325-20230828-30.n2v,kmeans-model-1200-1325-20230828-30.png,6
model-1200-1325-20230828-18.n2v,kmeans-model-1200-1325-20230828-18.png,6
model-1-1536-20230830-48.n2v,kmeans-model-1-1536-20230830-48.png,15
model-1-1536-20230830-60.n2v,kmeans-model-1-1536-20230830-60.png,8
model-1-1536-20230830-74.n2v,kmeans-model-1-1536-20230830-74.png,5
model-1-1325-20230829-14.n2v,kmeans-model-1-1325-20230829-14.png,5
model-1200-1325-20230810-20.n2v,kmeans-model-1200-1325-20230810-20.png,8
model-1200-1325-20230810-34.n2v,kmeans-model-1200-1325-20230810-34.png,7
model-1-1325-20230829-28.n2v,kmeans-model-1-1325-20230829-28.png,6
model-1-1325-20230813-29.n2v,kmeans-model-1-1325-20230813-29.png,12
model-1-1325-20230812-1.n2v,kmeans-model-1-1325-20230812-1.png,8
model-1200-1325-20230811-60.n2v,kmeans-model-1200-1325-20230811-60.png,6
model-1200-1325-20230811-48.n2v,kmeans-model-1200-1325-20230811-48.png,7
