,Order,Verse,Facsimile
60,47.0,51,"Smꝺ 

 ꞇılgıoꝼ er æıgı ꞇıl með mer ne gnóꞇꞇ ꝼıár"
61,50.0,53,"Nu eꝼ ſæl er oꝛðın eín nauꞇreka ꝺoꞇꞇ͛
"
62,63.0,65,"An̅aꞇ huarꞇ ꞇak þu oꝛꝩar þı
nar oꝛ hıarꞇa mínu"
63,68.0,70,Oc ſıalꝼr geꞇr oꝼꞇ ſaumu bnar
64,71.0,73,"Oc ꝼır͛
 engarrı ſcallꞇ þu hræðaz þıꞇꞇ ſcap aꞇ ſyna"
65,73.0,75,"Oc þeſſ er þu monꞇ bıðıanꝺe lǽıꞇa 

 með aꞇburð þa mon hon ꝼyrſꞇ ſnarrlıga nıꞇꞇa"
66,76.0,"79, 80","Oc engı mynꝺe yꝼer haꝼ ꝼara er h̅
 ꝼyrſꞇa þrúꞇna báro ræðızꞇ er ſkıpı mꞇır"
67,77.0,81,"
Nu ꝼır͛
 þuı er hon ıaꞇꞇar æıgı ꝼyrſꞇ þın̅ı rǫðo"
68,8.0,9,"Ec ſegı ꞇıl mæı
na mı̅na 

 er ſok ꞇıl hı̅n reꞇꞇaſꞇa"
69,90.0,93,Oc þaꞇ er engı ꝼrænꝺe ma geꝼa
70,94.0,97,"Meꞇ þuıſa maꞇꞇ þu ſıgra hóꞇ hǽıꞇ
ſamrar ꝩınu"
71,96.0,99,Tıl þeſſ ſꞇaðar ſcalꞇ þu oꝼꞇ koma ſem þu ꝩæızꞇ hana ꝩana ꝩera
