AM02-0133,AM02-0162A-gamma,AM02-0162A-theta,AM02-0162D-02,AM02-0221,AM02-0237-b,AM02-0237a,AM02-0238-XXVIII,AM02-0240-XI,AM02-0241bV,AM02-0243-b-alpha,AM02-0249-h,AM02-0249-p,AM02-0249b,AM02-0249c,AM02-0249f,AM02-0249l,AM02-0249n,AM02-0315-e,AM02-0315-g,AM02-0315-k,AM02-0315b,AM02-0315c,AM02-0315d,AM02-0334,AM04-0024,AM04-0053,AM04-0134,AM04-0291,AM04-0310,AM04-0325-II,AM04-0325-IV-alpha,AM04-0325-VII,AM04-0325-VIII-4-b,AM04-0325-XI-2-e,AM04-0325-XI-2-n,AM04-0383-I,AM04-0386-I,AM04-0386-II,AM04-0519-a,AM04-0619,AM04-0623,AM04-0645,AM04-0652,AM04-0655-I,AM04-0655-II,AM04-0655-III,AM04-0655-IV,AM04-0655-IX,AM04-0655-V,AM04-0655-VI,AM04-0655-VII,AM04-0655-VIII,AM04-0655-X,AM04-0655-XII-XIII,AM04-0655-XIV,AM04-0655-XIX,AM04-0655-XV,AM04-0655-XVI,AM04-0655-XVII,AM04-0655-XVIII,AM04-0655-XXI,AM04-0655-XXIII,AM04-0655-XXIX,AM04-0655-XXVIII-a,AM04-0655-XXX,AM04-0655-XXXIII,AM04-0666-b,AM04-0673-b,AM04-0673a-I,AM04-0673a-II,AM04-0679,AM04-0680-a,AM04-0686-b,AM04-0686-c,AM04-0696-XXIV,AM04-0725,AM04-0732a-VII,AM04-0788,AM04-0795,AM04-0796,AM04-0803,AM04-0805,AM04-0826,AM04-0829,AM04-0921-IV,AM04-1056-I,GKS02-1157,GKS04-2365,JSFragm-0010,JSFragm-0017,LbsFragm-0029
,,,,,,,,,,,,,,,,,,,,,,,,,,Magnus Erikssons landslag,,,,,,,,,,,,,,,,Martinus saga biskups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lokasenna,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreas saga
                        postola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlakviða,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fáfnismál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðrúnarhvöt,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reginsmál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grípisspá,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvíssmál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dráp Niflunga,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oddrúnargrátur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigurdrífumál,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Þrymskviða,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðrúnarkviða II,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðrúnarkviða III,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Völundarkviða,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helgakviða Hundingsbana I,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helgakviða Hjörvarðssonar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helreið Brynhildar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helgakviða Hundingsbana II,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frá dauða Sinfjötla,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brot af Sigurðarkviðu,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigurðarkviða hin skamma,,,
